                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                  1.104,                 1.1058,                 1.0334,                0.46866,                0.38862,                0.36709,                0.25305,                  1.284,                 1.4771,                 1.1214,               0.000198,               0.000198,               0.000198
                     79,                  1.101,                 1.1017,                 1.0316,                0.45917,                0.36671,                 0.3477,                 0.2403,                 1.2986,                 1.5289,                 1.1344,             0.00018976,             0.00018976,             0.00018976
                     80,                 1.0937,                 1.0818,                 1.0238,                0.47602,                0.37834,                 0.3485,                0.23973,                    1.3,                 1.5116,                 1.1342,             0.00018151,             0.00018151,             0.00018151
                     81,                 1.0957,                 1.0793,                 1.0233,                0.46481,                0.36091,                0.35305,                0.24232,                 1.3018,                 1.4898,                 1.1231,             0.00017326,             0.00017326,             0.00017326
                     82,                 1.0851,                 1.0719,                 1.0251,                0.46775,                0.37499,                0.35323,                0.24372,                 1.2832,                 1.5009,                 1.1305,             0.00016502,             0.00016502,             0.00016502
                     83,                 1.0735,                 1.0679,                  1.018,                0.48967,                0.36753,                0.35758,                0.24978,                   1.28,                 1.4863,                 1.1274,             0.00015677,             0.00015677,             0.00015677
                     84,                 1.0729,                 1.0529,                   1.02,                0.51309,                0.36958,                0.36282,                0.25269,                 1.2801,                 1.5011,                 1.1254,             0.00014852,             0.00014852,             0.00014852
                     85,                 1.0675,                  1.048,                 1.0237,                0.48318,                0.36924,                 0.3588,                 0.2484,                 1.2805,                 1.4964,                 1.1244,             0.00014028,             0.00014028,             0.00014028
                     86,                 1.0762,                 1.0587,                 1.0233,                 0.4874,                0.36622,                0.36652,                0.25734,                 1.2736,                 1.4911,                 1.1194,             0.00013203,             0.00013203,             0.00013203
                     87,                 1.0661,                 1.0476,                 1.0218,                0.49452,                0.36561,                0.36196,                0.25018,                 1.2886,                 1.5104,                 1.1246,             0.00012378,             0.00012378,             0.00012378
                     88,                 1.0446,                 1.0212,                 1.0138,                0.51759,                0.37351,                0.36858,                0.25499,                 1.2679,                 1.4776,                 1.1206,             0.00011554,             0.00011554,             0.00011554
                     89,                 1.0785,                 1.0553,                 1.0249,                0.52954,                0.37489,                0.36457,                0.25363,                 1.2774,                 1.4948,                 1.1226,             0.00010729,             0.00010729,             0.00010729
                     90,                 1.0434,                 1.0264,                 1.0137,                0.57462,                0.35487,                0.36712,                0.25528,                 1.2878,                   1.49,                 1.1278,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                 1.0533,                 1.0184,                 1.0167,                0.53268,                0.37563,                0.36472,                0.25344,                 1.2911,                 1.4934,                 1.1371,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                 1.0394,                0.98229,                 1.0141,                0.53252,                0.36902,                0.36123,                0.25019,                 1.2849,                 1.4902,                 1.1339,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                 1.0278,                0.96356,                  1.003,                0.52547,                0.36471,                 0.3668,                0.25538,                 1.2828,                 1.4945,                  1.128,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                 1.0161,                0.95204,                 1.0093,                0.55451,                0.35162,                 0.3668,                0.25517,                 1.2807,                 1.4919,                 1.1279,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                 1.0119,                0.93622,                 1.0024,                0.52969,                0.36292,                0.36849,                0.25517,                 1.2786,                 1.4905,                 1.1269,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                 1.0153,                0.93396,                 1.0045,                0.55356,                0.36511,                 0.3701,                 0.2553,                 1.2881,                 1.4943,                  1.129,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                 1.0137,                0.92848,                0.99733,                 0.5119,                0.37668,                0.36504,                0.25439,                 1.2889,                 1.5015,                 1.1306,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                 1.0026,                0.92841,                 1.0037,                0.53368,                0.37099,                 0.3653,                0.25512,                 1.2831,                 1.5017,                 1.1312,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.98677,                0.90855,                0.99576,                0.53215,                 0.3688,                0.36581,                0.25361,                 1.2851,                 1.5016,                 1.1302,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    100,                 1.0012,                0.91963,                 1.0015,                0.52677,                0.36694,                0.36446,                0.25335,                 1.2831,                 1.5071,                 1.1296,             1.6577e-05,             1.6577e-05,             1.6577e-05
